date,AvgMissingPercentage,DaysWithData
7/11/2002,38.89558717,0
7/20/2002,49.892655,0
7/22/2002,71.21200862,0
7/23/2002,46.9481472,0
7/24/2002,69.32461233,0
8/7/2002,13.09640683,3
8/8/2002,15.14242879,3
8/9/2002,30.48649261,3
8/10/2002,59.38018816,3
8/12/2002,48.17673162,3
8/14/2002,37.72490884,3
8/15/2002,47.929374,3
8/16/2002,14.20074349,3
8/30/2002,31.80778032,3
9/1/2002,25.21058638,3
9/2/2002,53.49766822,3
9/3/2002,22.48803828,3
9/8/2002,58.87463798,3
9/12/2002,57.45233377,3
9/19/2002,26.24657534,3
9/24/2002,40.76246334,3
10/2/2002,15.56982343,6
10/10/2002,72.97297297,6
10/11/2002,53.32401677,6
10/12/2002,9.552565261,6
10/13/2002,68.40874205,6
10/14/2002,13.24649791,6
10/16/2002,6.302482237,6
10/27/2002,60.77035797,6
10/28/2002,25.54489974,6
10/29/2002,47.97687861,6
10/30/2002,11.97511664,6
11/3/2002,37.6919859,4
11/4/2002,25.08143322,4
11/5/2002,37.11021185,4
11/6/2002,18.40279562,4
11/9/2002,41.04683196,4
11/10/2002,15.93619484,4
11/11/2002,71.62011173,4
11/13/2002,61.51419558,4
11/18/2002,19.64480449,4
11/26/2002,56.41547862,4
11/27/2002,55.94964126,4
11/28/2002,40.77106373,4
11/29/2002,70.8058418,4
12/10/2002,74.54545455,3
12/12/2002,71.79926926,3
12/13/2002,72.83024529,3
12/17/2002,8.016877637,3
12/26/2002,39.34079226,3
12/27/2002,57.93803126,3
12/28/2002,21.91766324,3
12/29/2002,28.6575832,3
12/30/2002,55.48657039,3
1/2/2003,21.91121223,5
1/4/2003,53.56928614,5
1/5/2003,56.64944248,5
1/6/2003,36.97164259,5
1/7/2003,51.22079286,5
1/8/2003,67.61239633,5
1/9/2003,23.7711523,5
1/12/2003,40.53064959,5
1/14/2003,67.74663269,5
1/15/2003,58.22002472,5
1/20/2003,62.00253129,5
1/25/2003,7.991563159,5
1/28/2003,24.80364011,5
1/30/2003,28.63603372,5
2/3/2003,67.46620148,6
2/6/2003,22.63146689,6
2/7/2003,28.19942132,6
2/13/2003,23.0966501,6
2/14/2003,26.77451304,6
2/15/2003,73.35038748,6
2/17/2003,71.51790367,6
2/21/2003,12.63199061,6
2/28/2003,4.347826087,6
3/2/2003,9.438084834,2
3/8/2003,58.07890223,2
3/11/2003,46.9106676,2
3/12/2003,53.86670228,2
3/21/2003,13.43606913,2
3/28/2003,72.58426966,2
4/6/2003,11.27209504,1
4/22/2003,63.17280453,1
4/27/2003,39.63636364,1
4/29/2003,68.35951772,1
5/1/2003,17.01371254,1
5/29/2003,54.24784093,1
6/5/2003,18.92226696,1
7/2/2003,37.32268447,0
7/11/2003,73.53317768,0
7/17/2003,63.70612477,0
7/27/2003,71.14841777,0
8/4/2003,64.39529076,2
8/5/2003,68.24886812,2
8/10/2003,16.97212774,2
8/21/2003,63.1612492,2
8/24/2003,27.04014116,2
8/25/2003,72.26168224,2
9/5/2003,45.55562575,3
9/9/2003,23.80440623,3
9/11/2003,25.67501227,3
9/14/2003,54.20654575,3
9/15/2003,74.22867514,3
9/17/2003,71.27564674,3
9/18/2003,45.02423365,3
9/27/2003,33.56521739,3
9/28/2003,61.7750316,3
9/29/2003,24.35904356,3
9/30/2003,49.25179763,3
10/1/2003,39.45887053,3
10/3/2003,61.76367338,3
10/4/2003,70.04945014,3
10/19/2003,62.98811545,3
10/20/2003,57.70020534,3
10/24/2003,29.693217,3
10/26/2003,25.25142702,3
10/27/2003,58.98426718,3
10/29/2003,10.60969755,3
10/30/2003,40.76246334,3
11/2/2003,25.77792335,1
11/7/2003,73.20703654,1
11/14/2003,32.74183327,1
11/16/2003,49.27113703,1
12/2/2003,12.74221961,7
12/4/2003,32.20864176,7
12/7/2003,30.40525243,7
12/8/2003,21.22487635,7
12/13/2003,15.03894548,7
12/14/2003,24.6416013,7
12/16/2003,10.64156742,7
12/18/2003,60.01111188,7
12/20/2003,46.43447312,7
12/21/2003,45.93362047,7
12/22/2003,33.36420468,7
12/23/2003,42.44204019,7
12/24/2003,64.06750694,7
12/25/2003,28.44241276,7
12/27/2003,41.01230185,7
12/29/2003,27.46182784,7
12/30/2003,58.37228485,7
1/1/2004,68.44567919,6
1/3/2004,28.34224599,6
1/8/2004,27.7020286,6
1/9/2004,59.81133384,6
1/10/2004,42.79516579,6
1/11/2004,45.49128568,6
1/14/2004,17.5270353,6
1/19/2004,67.05336427,6
1/22/2004,71.90181303,6
1/23/2004,44.9421238,6
1/25/2004,22.55971062,6
1/26/2004,21.84029614,6
1/28/2004,28.44957351,6
1/30/2004,51.94882279,6
2/4/2004,55.04710633,3
2/6/2004,59.10503418,3
2/8/2004,17.8396072,3
2/10/2004,68.93972723,3
2/11/2004,32.59668508,3
2/13/2004,71.68405365,3
2/15/2004,9.344596839,3
2/16/2004,52.69401551,3
2/18/2004,27.29985082,3
2/23/2004,53.31381421,3
2/27/2004,41.09001837,3
3/4/2004,21.86607426,2
3/5/2004,65.374677,2
3/6/2004,71.88898836,2
3/7/2004,62.84987277,2
3/8/2004,53.3954727,2
3/9/2004,9.876484334,2
3/27/2004,62.50528989,2
3/28/2004,34.92621223,2
4/5/2004,45.90589576,2
4/6/2004,46.23928911,2
4/10/2004,33.0023668,2
4/15/2004,56.70271373,2
4/20/2004,24.72256807,2
4/29/2004,15.09641323,2
5/6/2004,74.88993472,0
5/24/2004,30.73082161,0
5/26/2004,60.49038729,0
6/4/2004,34.46162825,0
6/14/2004,43.3281493,0
6/16/2004,48.17673162,0
6/18/2004,44.90566038,0
7/2/2004,33.66595115,0
7/9/2004,47.97687861,0
7/11/2004,30.86447802,0
7/20/2004,58.00301742,0
7/21/2004,72.36477893,0
7/27/2004,31.43183115,0
7/28/2004,56.42609817,0
8/4/2004,64.28978893,2
8/6/2004,56.95892091,2
8/10/2004,30.95373423,2
8/14/2004,10.01289214,2
8/19/2004,54.47536038,2
8/20/2004,29.97856256,2
9/1/2004,68.3718211,0
9/2/2004,73.1809982,0
9/8/2004,70.20019207,0
9/12/2004,69.00168708,0
9/13/2004,55.14106794,0
9/16/2004,53.74349393,0
9/17/2004,74.07071623,0
9/21/2004,55.51805602,0
9/22/2004,42.37162454,0
9/30/2004,45.02423365,0
10/1/2004,7.392560828,6
10/6/2004,33.25621747,6
10/7/2004,29.2856742,6
10/15/2004,13.4751773,6
10/17/2004,7.227626006,6
